feature,importance,rhythm,electrode
Delta.FP1,0.7527536257955776,Delta,FP1
Delta.FP2,0.09244340793497234,Delta,FP2
Delta.F7,0.980503351443838,Delta,F7
Delta.F3,0.5994845883325247,Delta,F3
Delta.Fz,1.995614280287963,Delta,Fz
Delta.F4,1.234378142523855,Delta,F4
Delta.F8,1.6714107464753865,Delta,F8
Delta.T3,1.7969702892588804,Delta,T3
Delta.C3,1.371821205903491,Delta,C3
Delta.Cz,0.708541533374211,Delta,Cz
Delta.C4,1.9190903130835417,Delta,C4
Delta.T4,0.5486080767129975,Delta,T4
Delta.T5,1.4753234879285098,Delta,T5
Delta.P3,0.0,Delta,P3
Delta.Pz,0.9689683761831088,Delta,Pz
Delta.P4,1.023466899208292,Delta,P4
Delta.T6,0.0081633027989356,Delta,T6
Delta.O1,1.6781714310718157,Delta,O1
Delta.O2,1.0321206740871234,Delta,O2
Delta.FPz,2.1579544889601134,Delta,FPz
Delta.AF3,3.2939735881086043,Delta,AF3
Delta.AF4,3.4508215580659645,Delta,AF4
Delta.F5,7.963865790113889,Delta,F5
Delta.F1,0.0654490851732231,Delta,F1
Delta.F2,3.5680976103892075,Delta,F2
Delta.F6,0.0,Delta,F6
Delta.T7,0.8313985130556825,Delta,T7
Delta.T8,6.405230748723026,Delta,T8
Theta.FP1,3.0161716745871687,Theta,FP1
Theta.FP2,0.967853367399646,Theta,FP2
Theta.F7,0.28570575993152453,Theta,F7
Theta.F3,0.8508371041471832,Theta,F3
Theta.Fz,3.9704628687810537,Theta,Fz
Theta.F4,1.21312092934866,Theta,F4
Theta.F8,6.683159467890812,Theta,F8
Theta.T3,2.6441951294774597,Theta,T3
Theta.C3,2.464487804952802,Theta,C3
Theta.Cz,0.5937194839730111,Theta,Cz
Theta.C4,13.801654965888401,Theta,C4
Theta.T4,12.8176985940469,Theta,T4
Theta.T5,1.22914298060106,Theta,T5
Theta.P3,2.6099090911831526,Theta,P3
Theta.Pz,4.6467748130046855,Theta,Pz
Theta.P4,5.350687424493363,Theta,P4
Theta.T6,8.021066712447618,Theta,T6
Theta.O1,1.707633202258826,Theta,O1
Theta.O2,1.7180534507567,Theta,O2
Theta.FPz,0.0,Theta,FPz
Theta.AF3,6.909837489336315,Theta,AF3
Theta.AF4,0.0,Theta,AF4
Theta.F5,0.0,Theta,F5
Theta.F1,3.7807001672286167,Theta,F1
Theta.F2,9.241385053562952,Theta,F2
Theta.F6,2.664668093084377,Theta,F6
Theta.T7,0.2650110297184147,Theta,T7
Theta.T8,1.5237390604322767,Theta,T8
Alpha.FP1,2.5536194234845038,Alpha,FP1
Alpha.FP2,0.9052291871032551,Alpha,FP2
Alpha.F7,2.4826441595649587,Alpha,F7
Alpha.F3,8.208855277389514,Alpha,F3
Alpha.Fz,11.303044784571115,Alpha,Fz
Alpha.F4,4.892700541233051,Alpha,F4
Alpha.F8,3.0816858949100356,Alpha,F8
Alpha.T3,6.828831793999964,Alpha,T3
Alpha.C3,3.7737414838131644,Alpha,C3
Alpha.Cz,1.0224043493391526,Alpha,Cz
Alpha.C4,4.266213403385136,Alpha,C4
Alpha.T4,1.3372656482327816,Alpha,T4
Alpha.T5,1.2501840747809032,Alpha,T5
Alpha.P3,1.1096374516323073,Alpha,P3
Alpha.Pz,1.4402325582875959,Alpha,Pz
Alpha.P4,0.22281253161893858,Alpha,P4
Alpha.T6,0.9861323494519307,Alpha,T6
Alpha.O1,0.9471645227194777,Alpha,O1
Alpha.O2,0.5368568745959466,Alpha,O2
Alpha.FPz,2.016814090565671,Alpha,FPz
Alpha.AF3,1.2480323152343347,Alpha,AF3
Alpha.AF4,0.0,Alpha,AF4
Alpha.F5,8.496269794775317,Alpha,F5
Alpha.F1,1.6873118511325347,Alpha,F1
Alpha.F2,3.0489637187526184,Alpha,F2
Alpha.F6,2.4226609235453593,Alpha,F6
Alpha.T7,3.2550848993146317,Alpha,T7
Alpha.T8,0.2700739374484972,Alpha,T8
Beta.FP1,0.8432397561583772,Beta,FP1
Beta.FP2,2.1585177941365723,Beta,FP2
Beta.F7,2.5991602733869756,Beta,F7
Beta.F3,2.0967647632625743,Beta,F3
Beta.Fz,0.0,Beta,Fz
Beta.F4,8.189259132802718,Beta,F4
Beta.F8,0.3769370005944745,Beta,F8
Beta.T3,6.988502467311353,Beta,T3
Beta.C3,1.0994918109966323,Beta,C3
Beta.Cz,0.0,Beta,Cz
Beta.C4,3.2903172092808886,Beta,C4
Beta.T4,3.1273525075685074,Beta,T4
Beta.T5,1.247768957705448,Beta,T5
Beta.P3,4.375551571261917,Beta,P3
Beta.Pz,0.14989456384976543,Beta,Pz
Beta.P4,5.987038807078227,Beta,P4
Beta.T6,8.265465322438457,Beta,T6
Beta.O1,1.8742629375231596,Beta,O1
Beta.O2,0.7787043317758532,Beta,O2
Beta.FPz,0.05029262930490791,Beta,FPz
Beta.AF3,3.4373391553933206,Beta,AF3
Beta.AF4,0.7289183546389448,Beta,AF4
Beta.F5,2.400397572873386,Beta,F5
Beta.F1,1.6095169986869784,Beta,F1
Beta.F2,10.65443702195399,Beta,F2
Beta.F6,2.2754840236944323,Beta,F6
Beta.T7,0.43872666821464906,Beta,T7
Beta.T8,1.153481946930581,Beta,T8
HighBeta.FP1,1.307856774284302,HighBeta,FP1
HighBeta.FP2,0.005833323092986915,HighBeta,FP2
