feature,importance
AB_7,0.11375658130791454
AB_17,0.06587883369124209
AB_18,0.06041056074317106
AB_6,0.05447551292011329
AB_15,0.05438869557236924
AB_19,0.05348047074616609
AB_12,0.05305730154420764
AB_14,0.050480662913515856
AB_1,0.048445445278786005
AB_9,0.045208240194319814
AB_11,0.0448074895721461
AB_16,0.04414384904437194
AB_13,0.04207641406294366
AB_4,0.042069087457399575
AB_10,0.04182002796056738
AB_3,0.04080169394139546
AB_2,0.03853995360109892
AB_5,0.0379912558823228
AB_0,0.034524071211911034
AB_8,0.03364385235403753
