feature,rhythm,electrode,importance
Theta.C4,Theta,C4,13.8017
Theta.T4,Theta,T4,12.8177
Alpha.Fz,Alpha,Fz,11.303
Beta.F2,Beta,F2,10.6544
Theta.F2,Theta,F2,9.2414
Alpha.F5,Alpha,F5,8.4963
Beta.T6,Beta,T6,8.2655
Alpha.F3,Alpha,F3,8.2089
Beta.F4,Beta,F4,8.1893
Theta.T6,Theta,T6,8.0211
Delta.F5,Delta,F5,7.9639
Beta.T3,Beta,T3,6.9885
Theta.AF3,Theta,AF3,6.9098
Alpha.T3,Alpha,T3,6.8288
Theta.F8,Theta,F8,6.6832
Delta.T8,Delta,T8,6.4052
Beta.P4,Beta,P4,5.987
Theta.P4,Theta,P4,5.3507
Alpha.F4,Alpha,F4,4.8927
Theta.Pz,Theta,Pz,4.6468
